학교명,도로명주소,위도,경도,법정동,행정동
가정여자중학교,인천광역시 서구 고래울로28번길 13 (가좌동),37.48538158,126.6853919,가좌동,가좌4동
인천가좌여자중학교,"인천광역시 서구 서달로 110 (석남동, 가좌여자중학교)",37.50856018,126.6793052,석남동,석남3동
갈산중학교,"인천광역시 부평구 주부토로 166 (갈산동, 갈산중학교)",37.5102242,126.7265421,갈산동,갈산2동
검단중학교,인천광역시 서구 완정로188번길 12 (마전동),37.6035808,126.6577475,마전동,검단동
검암중학교,"인천광역시 서구 검암로29번길 12 (검암동, 검암중학교)",37.5672271,126.6789261,검암동,검암경서동
계산여자중학교,"인천광역시 계양구 장제로755번길 16 (계산동,계산여자중학교)",37.53635047,126.7326684,계산동,계산3동
계산중학교,"인천광역시 계양구 도두리로 67-16 (계산동, 계산중학교)",37.53455221,126.7425839,계산동,계산4동
계양중학교,"인천광역시 계양구 장제로1181번길 9 (귤현동, 계양중학교)",37.56898805,126.7395635,귤현동,계양1동
구산중학교,"인천광역시 부평구 수변로 199 (부개동, 구산중학교)",37.5046493,126.7418196,부개동,부개3동
동암중학교,인천광역시 부평구 동암산로 43번길 12 (십정동),37.47415487,126.705816,십정동,십정2동
동인천여자중학교,"인천광역시 서구 여우재로112번길 13 (가좌동, 동인천여자중학교)",37.49004466,126.6877442,가좌동,가좌4동
명현중학교,"인천광역시 계양구 안남로554번길 26 , 명현중학교 (효성동)",37.53206223,126.7139681,효성동,효성1동
백석중학교,인천광역시 서구 서곶로 695 (백석동),37.57941676,126.6742104,백석동,당하동
부광중학교,"인천광역시 부평구 충선로 140 , 부광중학교 (부개동)",37.50101254,126.7374688,부개동,부개3동
부원여자중학교,"인천광역시 부평구 부영로 88 (부평동, 부원여자중학교)",37.49329275,126.7170969,부평동,부평1동
부원중학교,"인천광역시 부평구 경원대로 1339 (부평동, 인천 부원중학교)",37.49242189,126.7165915,부평동,부평1동
인천동수중학교,"인천광역시 부평구 동수로 8 (부평동, 인천동수중학교)",37.48428414,126.7194391,부평동,부평2동
부일중학교,"인천광역시 부평구 영성로 3 (삼산동, 부일중학교)",37.52074703,126.7405339,삼산동,삼산1동
부평동중학교,"인천광역시 부평구 수변로107번길 4 (부개동, 부평동중학교)",37.49665352,126.7408276,부개동,부개2동
부평서여자중학교,"인천광역시 부평구 경원대로 1213 (십정동, 부평서여자중학교)",37.4853651,126.7053476,십정동,부평3동
부평서중학교,"인천광역시 부평구 화랑로 29 (십정동, 부평서중학교)",37.48661833,126.7036652,산곡동,부평3동
부평여자중학교,"인천광역시 부평구 부평문화로 193-1 (부개동, 부평여자중학교)",37.49559383,126.738696,부개동,부개2동
부평중학교,"인천광역시 부평구 부흥북로57번길 10 (부평동, 부평중학교)",37.50190044,126.7293453,부평동,부평4동
부흥중학교,"인천광역시 부평구 충선로 152 (부개동, 인천부흥중학교)",37.50305987,126.7367691,부개동,부개3동
북인천여자중학교,인천광역시 계양구 아나지로85번길 12 (효성동),37.52651485,126.7017923,효성동,효성2동
북인천중학교,"인천광역시 계양구 계산로22번길 6 (계산동, 북인천중학교)",37.54258661,126.7171108,계산동,계산1동
불로중학교,인천광역시 서구 고산후로 363 (불로동),37.61557355,126.6952144,불로동,불로대곡동
산곡남중학교,"인천광역시 부평구 안남로 187 (산곡동, 산곡남중학교)",37.50013864,126.707396,산곡동,산곡2동
산곡여자중학교,"인천광역시 부평구 마장로204번길 37 (산곡동, 산곡여자중학교)",37.49747444,126.7060067,산곡동,산곡2동
산곡중학교,"인천광역시 부평구 원적로300번길 14 (산곡동, 산곡중학교)",37.50424716,126.6991626,산곡동,산곡1동
서곶중학교,"인천광역시 서구 대평로56번길 22 (연희동,서곶중학교)",37.54935316,126.6711893,연희동,연희동
서운중학교,"인천광역시 계양구 아나지로 467 (서운동, 서운중학교)",37.52615511,126.744796,서운동,작전서운동
신현여자중학교,"인천광역시 서구 새오개로111번길 15 (신현동, 신현여자중학교)",37.52085971,126.6642185,신현동,신현원창동
신현중학교,인천광역시 서구 원창로131번길 23 (신현동),37.51991492,126.6642505,신현동,신현원창동
인천안남중학교,"인천광역시 계양구 계산새로33번길 5 (계산동, 안남중학교)",37.53945155,126.730699,계산동,계산3동
가좌중학교,"인천광역시 서구 건지로334번길 31 (가좌동, 가좌중학교)",37.495703,126.6797136,가좌동,가좌3동
인천효성중학교,"인천광역시 계양구 안남로 607 , 인천효성중학교 (효성동)",37.53745471,126.7102746,효성동,효성1동
임학중학교,"인천광역시 계양구 장제로 894 , 임학중학교 (병방동)",37.54602756,126.7398997,병방동,계양2동
제물포중학교,"인천광역시 서구 여우재로112번길 7 , 제물포중학교 (가좌동, 제물포중학교)",37.48924024,126.687197,가좌동,가좌4동
