시도,시군구,학교명,도로명주소,위도,경도
서울시교육청,금천구,서울백산초등학교,서울 금천구 시흥대로38길 78,37.44680846,126.905176
서울시교육청,영등포구,서울선유초등학교,서울 영등포구 선유로43가길 14,37.53287649,126.8927757
서울시교육청,구로구,서울세곡초등학교,서울 구로구 고척로33길 34,37.50485877,126.8496716
서울시교육청,금천구,서울시흥초등학교,서울 금천구 독산로23길 26,37.45509762,126.9049757
서울시교육청,구로구,서울신구로초등학교,서울 구로구 가마산로27길 69,37.49962984,126.8892768
서울시교육청,영등포구,서울신대림초등학교,서울 영등포구 대림로8길 25,37.49221279,126.9059418
서울시교육청,구로구,서울신도림초등학교,서울 구로구 신도림로19길 44,37.5122707,126.8834036
서울시교육청,구로구,서울신미림초등학교,서울 구로구 신도림로 26,37.50681415,126.8797432
서울시교육청,영등포구,서울신영초등학교,서울 영등포구 도신로4길 32,37.5006449,126.8957983
서울시교육청,금천구,서울신흥초등학교,서울 금천구 독산로36나길 21,37.45968496,126.9087767
서울시교육청,금천구,서울안천초등학교,서울 금천구 한내로 69-16,37.45852851,126.8883111
서울시교육청,영등포구,서울여의도초등학교,서울 영등포구 여의대방로 439,37.52261158,126.9367593
서울시교육청,금천구,서울영남초등학교,서울 금천구 문성로 62-15,37.47543909,126.909888
서울시교육청,영등포구,서울영동초등학교,서울 영등포구 국회대로53길 20,37.52685595,126.9076496
서울시교육청,영등포구,서울영등포초등학교,서울 영등포구 경인로 756,37.51290793,126.8982742
서울시교육청,영등포구,서울영림초등학교,서울 영등포구 시흥대로173길 14,37.48734097,126.9025242
서울시교육청,영등포구,서울영문초등학교,서울 영등포구 문래로 56,37.51961977,126.8876319
서울시교육청,구로구,서울영서초등학교,서울 구로구 도림로20길 57,37.48850576,126.8949197
서울시교육청,영등포구,서울영신초등학교,서울 영등포구 도신로60길 23,37.5100761,126.9179945
서울시교육청,영등포구,서울영원초등학교,서울 영등포구 도영로22길 31,37.5107669,126.9022494
서울시교육청,구로구,서울영일초등학교,서울 구로구 남부순환로105길 218,37.48545718,126.8838297
서울시교육청,영등포구,서울영중초등학교,서울 영등포구 양산로 185,37.52385445,126.9039337
서울시교육청,구로구,서울오류남초등학교,서울 구로구 서해안로24길 22,37.4896855,126.8384986
서울시교육청,구로구,서울오류초등학교,서울 구로구 경인로19길 39,37.49838374,126.842447
서울시교육청,구로구,서울오정초등학교,서울 구로구 경인로2길 10,37.48936894,126.826215
서울시교육청,영등포구,서울온수초등학교,서울 구로구 부일로 893,37.49416194,126.8259777
서울시교육청,영등포구,서울우신초등학교,서울 영등포구 신길로 190,37.50958125,126.9114802
서울시교육청,영등포구,서울윤중초등학교,서울 영등포구 여의나루로2길 14,37.51985711,126.9229339
서울시교육청,금천구,서울정심초등학교,서울 금천구 독산로78다길 89,37.47167894,126.9084094
서울시교육청,구로구,서울천왕초등학교,서울 구로구 천왕로1길 11,37.4816032,126.8369965
서울시교육청,금천구,서울탑동초등학교,서울 금천구 탑골로 47-3,37.45262546,126.9147164
서울시교육청,구로구,서울하늘숲초등학교,서울 구로구 오리로 1106,37.4843171,126.8416772
서울시교육청,구로구,서울항동초등학교,서울 구로구 연동로 178,37.47696696,126.8240448
서울시교육청,금천구,동광초등학교,서울 금천구 탑골로10길 45,37.45203937,126.9166429
서울시교육청,도봉구,서울가인초등학교,서울 도봉구 도봉로136다길 4,37.65976605,127.0431294
서울시교육청,노원구,서울계상초등학교,서울 노원구 한글비석로41가길 24,37.6628933,127.0681015
서울시교육청,노원구,서울공릉초등학교,서울 노원구 동일로173길 12,37.61930359,127.0742146
