시도교육청명,행정구역명,학원명,도로명주소,위도,경도
서울특별시교육청,강남구,강남미술학원,"서울특별시 강남구 강남대로 240, 205호, 409-2호, 410호, 413호(도곡동)",37.48525961,127.0344297
서울특별시교육청,강남구,강남비상에듀학원,"서울특별시 강남구 선릉로62길 5, 5층 전체 (대치동)",37.4973827,127.0530618
서울특별시교육청,강남구,강남삼성학원,서울특별시 강남구 선릉로69길 74층(역삼동),37.49843897,127.0511818
서울특별시교육청,강남구,강남삼육외국어학원,"서울특별시 강남구 학동로47길 15, 3층, 4층 (논현동)",37.51762548,127.0384428
서울특별시교육청,강남구,강남세고비아기타교습소,"서울특별시 강남구 삼성로 212, A블럭 220호 (대치동,은마아파트상가)",37.49961577,127.0659154
서울특별시교육청,강남구,강남스카이(sky)영어교습소,"서울특별시 강남구 자곡로 106, 301호 (자곡동, S-플라자)",37.47192026,127.0949807
서울특별시교육청,강남구,강남쎈수학교습소,"서울특별시 강남구 헌릉로570길 34, 303호일부 (세곡동)",37.4631481,127.1034683
서울특별시교육청,강남구,강남씨앤씨미술학원,"서울특별시 강남구 선릉로 311, 5층 501호 (역삼동)",37.49733422,127.0520778
서울특별시교육청,강남구,강남아베크뮤직아카데미학원,"서울특별시 강남구 강남대로94길 865층 전체, 7층 전체(역삼동)",37.50065042,127.0341516
서울특별시교육청,강남구,강남아이지에스(IGS)통역학원,서울특별시 강남구 강남대로98길 9우성빌딩 5층 (역삼동),37.50074041,127.0273309
서울특별시교육청,강남구,강남아첼바이올린음악교습소,"서울특별시 강남구 선릉로 227, 405호 일부 (도곡동)",37.49583915,127.0527361
서울특별시교육청,강남구,강남아트포엠미술학원,서울특별시 강남구 선릉로 4084층 (대치동),37.50141627,127.0507334
서울특별시교육청,강남구,강남에스엘피어학학원,"서울특별시 강남구 개포로 626, 1층~4층 (일원동)",37.4940444,127.0813711
서울특별시교육청,강남구,강남에이비씨승무원학원,"서울특별시 강남구 논현로 428, 4층 일부(정면 및 좌측)(역삼동)",37.49853173,127.0384633
서울특별시교육청,강남구,강남엔(N)플러스학원,"서울특별시 강남구 선릉로 340, 3층 전체(대치동)",37.50022294,127.0514484
서울특별시교육청,강남구,강남와이비엠어학원,"서울특별시 강남구 강남대로 408, 9층 902호 (역삼동, YBM강남센터)",37.4992182,127.027542
서울특별시교육청,강남구,강남원비트실용음악학원,"서울특별시 강남구 학동로4길 20, 4층 일부 (논현동, 명진빌딩)",37.51009174,127.0232398
서울특별시교육청,강남구,강남은마한우리독서토론논술교습소,"서울특별시 강남구 삼성로 212, 은마상가 B블럭 219호 일부(우측)(대치동,은마아파트)",37.49961577,127.0659154
서울특별시교육청,강남구,강남이엠에이영어학원,"서울특별시 강남구 헌릉로569길 25, 2층 201호(세곡동)",37.46679546,127.0990697
서울특별시교육청,강남구,강남일원스즈키바이올린음악교습소,"서울특별시 강남구 광평로19길 10, 203호(까치마을아파트상가) (수서동)",37.48548535,127.0866017
서울특별시교육청,강남구,강남잉글리쉬아카데미어학원,"서울특별시 강남구 언주로164길 12, 1층,2층,3층 일부,4층 일부 (신사동)",37.5252083,127.0343948
서울특별시교육청,강남구,강남잉글리쉬아카데미학원,"서울특별시 강남구 언주로164길 12, 5층 (신사동, 명진빌딩)",37.5252083,127.0343948
서울특별시교육청,강남구,강남잉크미술학원,"서울특별시 강남구 역삼로 423, 3층(대치동)",37.50152743,127.0532395
서울특별시교육청,강남구,강남정보학원,"서울특별시 강남구 선릉로 670, 402호 (삼성동,해운빌딩)",37.5166982,127.0417811
서울특별시교육청,강남구,강남종로대치독서실,"서울특별시 강남구 역삼로 534, 6층 (대치동)",37.50379209,127.0614462
서울특별시교육청,강남구,강남종로학원,"서울특별시 강남구 역삼로 534, 1~5층 (대치동)",37.50379209,127.0614462
서울특별시교육청,강남구,강남중국어학원,"서울특별시 강남구 테헤란로5길 18, 1,2층 (역삼동)",37.5000315,127.0292154
서울특별시교육청,강남구,강남창조의아침미술학원,"서울특별시 강남구 선릉로 418, 2층 전체 (대치동)",37.50226158,127.0503337
서울특별시교육청,강남구,강남천년의미소2관미술학원,"서울특별시 강남구 선릉로86길 6-5, 3층 (대치동,프라임빌딩)",37.5028007,127.0506432
서울특별시교육청,강남구,강남천년의미소미술학원,서울특별시 강남구 선릉로86길 12해동빌딩 3층 (대치동),37.50310658,127.0508861
서울특별시교육청,강남구,강남천년의미소예비관미술학원,"서울특별시 강남구 선릉로86길 6-5, 2층 (대치동,프라임빌딩)",37.5028007,127.0506432
서울특별시교육청,강남구,강남최강학원,"서울특별시 강남구 역삼로 417, 2층(대치동)",37.50135414,127.0526942
서울특별시교육청,강남구,강남케이에스보습학원,서울특별시 강남구 광평로51길 6-11문암빌딩 6층 (수서동),37.48850658,127.1032299
서울특별시교육청,강남구,강남코리코딩교습소,"서울특별시 강남구 광평로10길 501층 24호, 24-1호, 24-1A호(일원동,청솔빌리지)",37.48106281,127.0832524
서울특별시교육청,강남구,강남킹스키즈어학원,"서울특별시 강남구 도곡로73길 31-1, 2층, 3층(대치동)",37.49983305,127.0562494
서울특별시교육청,강남구,강남하이탑학원,"서울특별시 강남구 테헤란로8길 32, 5층 (역삼동)",37.49671447,127.0318894
서울특별시교육청,강남구,강남하이퍼독서실,"서울특별시 강남구 강남대로92길 35, 3층~7층 (역삼동)",37.49958054,127.0302862
서울특별시교육청,강남구,강남하이퍼의대관2독서실,"서울특별시 강남구 강남대로94길 303층일부, 4~6층(역삼동)",37.49967482,127.0298087
서울특별시교육청,강남구,강남하이퍼의대관2학원,"서울특별시 강남구 강남대로94길 301~2층, 3층 일부(역삼동)",37.49967482,127.0298087
서울특별시교육청,강남구,강남하이퍼의대관독서실,"서울특별시 강남구 강남대로92길 33, 5층 및 6층 전체 (역삼동)",37.4995268,127.0301131
서울특별시교육청,강남구,강남하이퍼의대관학원,"서울특별시 강남구 강남대로92길 33, 2층, 3층, 4층(역삼동)",37.4995268,127.0301131
서울특별시교육청,강남구,강남하이퍼학원,"서울특별시 강남구 강남대로92길 351층, 2층, 8층(역삼동)",37.49958054,127.0302862
서울특별시교육청,강남구,강남합격의법학원,"서울특별시 강남구 강남대로94길 71, 2층,3층일부 (역삼동)",37.50096719,127.0329776
