시군구,행정동,어린이집_가중치,학급당학생수_가중치,가중치_합산
마포구,상암동,0.008450382,0.033374129,0.041824511
강동구,상일1동,0.001632743,0.043265049,0.044897792
강동구,상일2동,0.005406593,0.035659211,0.041065804000000004
용인시 기흥구,상하동,0.006901804,0.040501221,0.047403024999999994
용인시 수지구,상현1동,0.004137128,0.044623529,0.048760657
용인시 수지구,상현2동,0.003269103,0.042441493,0.045710596
용인시 수지구,상현3동,0.00341302,0.046397451,0.049810471
마포구,서강동,0.003393103,0.03387252,0.037265623000000005
마포구,서교동,0.003133758,0.028056944,0.031190702
용인시 기흥구,서농동,0.00522293,0.044976699,0.050199629
관악구,서림동,0.004979757,0.031556163,0.03653592
용산구,서빙고동,0.00322623,0.02935322,0.032579449999999996
관악구,서원동,0.005234043,0.030884756,0.036118799
남동구,서창2동,0.003522231,0.047019997,0.050542228
서초구,서초1동,0.004979757,0.032985867,0.037965624
서초구,서초2동,0.002340381,0.045483078,0.047823459000000006
서초구,서초3동,0.003541885,0.036189977,0.039731862
서초구,서초4동,0.002679739,0.042791053,0.045470792
성남시 분당구,서현1동,0.003194805,0.048460365,0.05165517
성남시 분당구,서현2동,0.004241379,0.045743032,0.049984411000000006
성북구,석관동,0.003412358,0.029810503,0.033222861
서구,석남1동,0.005125,0.034567497,0.039692497
서구,석남2동,0.003075,0.030043772,0.033118772
서구,석남3동,0.004241379,0.029625718,0.033867097
안양시 만안구,석수1동,0.004689775,0.038600698,0.043290473
안양시 만안구,석수2동,0.006282258,0.04178506,0.048067318
송파구,석촌동,0.005160839,0.027695569,0.032856408000000004
강화군,선원면,0.001769784,0.031153533,0.032923317
연수구,선학동,0.003679487,0.032423742,0.036103229
부천시 오정구,성곡동,0.005943624,0.039149758,0.045093382
성남시 중원구,성남동,0.004928962,0.044414255,0.049343217
강동구,성내1동,0.004350482,0.032816344,0.037166826
강동구,성내2동,0.004032787,0.0,0.004032787
강동구,성내3동,0.00384375,0.0,0.00384375
용인시 수지구,성복동,0.002324625,0.050288661,0.052613285999999995
성북구,성북동,0.003324324,0.025782057,0.029106381
고양시 덕양구,성사1동,0.003275148,0.037058546,0.040333693999999996
고양시 덕양구,성사2동,0.007639752,0.037295645,0.044935397
